course_id,course_name,faculty,credit_hours,credits,offered_term,year_offered,delivery_mode
COM1001,Introduction to Programming,Computing,30,1,Semester 2,Year 2,In-Person
COM1002,Data Structures and Algorithms,Computing,45,1,Semester 1,Year 4,In-Person
COM1003,Database Management Systems,Computing,30,1,Semester 1,Year 2,Hybrid
COM1004,Computer Networks,Computing,30,2,Semester 2,Year 2,Online
COM1005,Software Engineering,Computing,60,1,Semester 1,Year 4,Online
COM1006,Operating Systems,Computing,60,2,Semester 1,Year 3,In-Person
COM1007,Artificial Intelligence,Computing,30,4,Semester 1,Year 3,Online
COM1008,Web Development,Computing,60,1,Semester 2,Year 1,Online
COM1009,Cybersecurity Fundamentals,Computing,30,3,Semester 2,Year 2,Hybrid
COM1010,Machine Learning,Computing,30,1,Semester 1,Year 3,In-Person
MED1001,Human Anatomy,Medicine,45,1,Semester 2,Year 3,Online
MED1002,Medical Physiology,Medicine,60,2,Semester 2,Year 3,In-Person
MED1003,Pharmacology,Medicine,60,1,Semester 1,Year 2,In-Person
MED1004,Pathology,Medicine,75,4,Semester 2,Year 2,Hybrid
MED1005,Clinical Medicine,Medicine,60,1,Semester 1,Year 1,Online
MED1006,Medical Ethics,Medicine,75,3,Semester 1,Year 2,Hybrid
MED1007,Epidemiology,Medicine,60,2,Semester 2,Year 4,Hybrid
MED1008,Immunology,Medicine,75,2,Semester 2,Year 2,In-Person
MED1009,Neuroscience,Medicine,60,4,Semester 2,Year 3,In-Person
MED1010,Surgical Principles,Medicine,45,4,Semester 1,Year 1,In-Person
BUS1001,Principles of Management,Business,45,2,Semester 2,Year 1,Online
BUS1002,Business Statistics,Business,75,4,Semester 2,Year 1,Hybrid
BUS1003,Financial Accounting,Business,30,3,Semester 2,Year 1,Online
BUS1004,Marketing Management,Business,75,2,Semester 2,Year 1,Hybrid
BUS1005,Business Law,Business,60,2,Semester 1,Year 3,Hybrid
BUS1006,Entrepreneurship,Business,45,2,Semester 2,Year 2,Hybrid
BUS1007,Operations Management,Business,30,3,Semester 2,Year 1,In-Person
BUS1008,Strategic Management,Business,60,3,Semester 1,Year 1,In-Person
BUS1009,Human Resource Management,Business,30,1,Semester 2,Year 1,Hybrid
BUS1010,International Business,Business,45,2,Semester 2,Year 2,Online
LAW1001,Introduction to Law,Law,75,2,Semester 1,Year 3,Online
LAW1002,Constitutional Law,Law,60,4,Semester 2,Year 1,In-Person
LAW1003,Criminal Law,Law,45,1,Semester 2,Year 1,Hybrid
LAW1004,Contract Law,Law,45,2,Semester 1,Year 1,Hybrid
LAW1005,Tort Law,Law,30,2,Semester 1,Year 1,Online
LAW1006,International Law,Law,30,2,Semester 2,Year 4,In-Person
LAW1007,Intellectual Property Law,Law,45,4,Semester 1,Year 4,Online
LAW1008,Commercial Law,Law,45,1,Semester 1,Year 4,Online
LAW1009,Family Law,Law,75,4,Semester 2,Year 1,Hybrid
LAW1010,Administrative Law,Law,30,1,Semester 2,Year 3,In-Person
ART1001,Introduction to Literary Studies,Arts,45,2,Semester 1,Year 4,In-Person
ART1002,Creative Writing,Arts,75,2,Semester 2,Year 4,In-Person
ART1003,History of Art,Arts,30,4,Semester 1,Year 1,Hybrid
ART1004,Philosophy of Mind,Arts,30,1,Semester 1,Year 2,Online
ART1005,Cultural Studies,Arts,75,4,Semester 1,Year 4,In-Person
ART1006,Media and Communication,Arts,45,4,Semester 1,Year 4,Online
ART1007,Theatre and Performance,Arts,75,3,Semester 2,Year 4,In-Person
ART1008,Linguistics,Arts,45,3,Semester 1,Year 1,Hybrid
ART1009,Comparative Literature,Arts,30,3,Semester 1,Year 1,Hybrid
ART1010,Film Studies,Arts,75,2,Semester 1,Year 1,In-Person
SCI1001,General Chemistry,Science,30,1,Semester 1,Year 4,In-Person
SCI1002,Physics Mechanics,Science,45,1,Semester 1,Year 4,Hybrid
SCI1003,Calculus and Analysis,Science,60,3,Semester 1,Year 3,In-Person
SCI1004,Organic Chemistry,Science,60,4,Semester 1,Year 3,Online
SCI1005,Molecular Biology,Science,60,1,Semester 1,Year 4,Hybrid
SCI1006,Statistics for Scientists,Science,30,1,Semester 1,Year 3,In-Person
SCI1007,Environmental Science,Science,60,1,Semester 1,Year 3,Online
SCI1008,Genetics,Science,45,4,Semester 2,Year 1,Hybrid
SCI1009,Quantum Physics,Science,60,1,Semester 1,Year 3,In-Person
SCI1010,Biochemistry,Science,30,2,Semester 2,Year 3,Hybrid
ENG1001,Engineering Mathematics,Engineering,45,3,Semester 1,Year 3,Hybrid
ENG1002,Thermodynamics,Engineering,75,3,Semester 1,Year 1,Hybrid
ENG1003,Structural Analysis,Engineering,75,3,Semester 1,Year 1,Online
ENG1004,Fluid Mechanics,Engineering,45,3,Semester 1,Year 4,Hybrid
ENG1005,Electrical Circuits,Engineering,75,1,Semester 1,Year 1,Hybrid
ENG1006,Materials Science,Engineering,45,1,Semester 2,Year 2,Online
ENG1007,Control Systems,Engineering,45,1,Semester 2,Year 3,In-Person
ENG1008,Engineering Design,Engineering,60,2,Semester 1,Year 1,Online
ENG1009,Civil Engineering Fundamentals,Engineering,75,2,Semester 1,Year 2,In-Person
ENG1010,Mechanical Engineering,Engineering,75,1,Semester 1,Year 3,Online
AGR1001,Introduction to Agriculture,Agriculture,45,3,Semester 1,Year 1,Online
AGR1002,Soil Science,Agriculture,30,4,Semester 1,Year 2,Online
AGR1003,Crop Production,Agriculture,60,3,Semester 1,Year 2,In-Person
AGR1004,Animal Husbandry,Agriculture,45,4,Semester 2,Year 3,In-Person
AGR1005,Agricultural Economics,Agriculture,60,3,Semester 2,Year 3,In-Person
AGR1006,Plant Pathology,Agriculture,30,3,Semester 1,Year 3,In-Person
AGR1007,Irrigation and Water Management,Agriculture,30,4,Semester 2,Year 3,Online
AGR1008,Food Technology,Agriculture,30,4,Semester 1,Year 3,In-Person
AGR1009,Agribusiness Management,Agriculture,75,1,Semester 1,Year 3,Online
AGR1010,Sustainable Farming,Agriculture,30,3,Semester 2,Year 1,Hybrid
ARC1001,Architectural Design,Architecture,60,3,Semester 2,Year 3,Online
ARC1002,Building Construction,Architecture,60,2,Semester 1,Year 4,Hybrid
ARC1003,Urban Planning,Architecture,75,2,Semester 2,Year 4,Hybrid
ARC1004,Structural Systems,Architecture,30,3,Semester 2,Year 2,Online
ARC1005,History of Architecture,Architecture,60,4,Semester 2,Year 4,Hybrid
ARC1006,Environmental Design,Architecture,45,4,Semester 1,Year 1,Online
ARC1007,Interior Architecture,Architecture,60,1,Semester 1,Year 3,In-Person
ARC1008,Landscape Architecture,Architecture,45,2,Semester 1,Year 1,In-Person
ARC1009,Building Materials,Architecture,75,1,Semester 2,Year 4,Hybrid
ARC1010,Architectural Theory,Architecture,45,4,Semester 2,Year 4,In-Person
SOC1001,Introduction to Sociology,Social Sciences,45,1,Semester 1,Year 4,In-Person
SOC1002,Social Psychology,Social Sciences,45,4,Semester 1,Year 2,In-Person
SOC1003,Political Science,Social Sciences,75,2,Semester 2,Year 3,Online
SOC1004,Economics Principles,Social Sciences,75,4,Semester 1,Year 4,Online
SOC1005,Anthropology,Social Sciences,60,2,Semester 2,Year 4,Hybrid
SOC1006,Research Methods,Social Sciences,45,3,Semester 2,Year 1,Hybrid
SOC1007,Public Policy,Social Sciences,60,2,Semester 2,Year 3,Online
SOC1008,International Relations,Social Sciences,30,2,Semester 1,Year 2,Online
SOC1009,Human Geography,Social Sciences,45,2,Semester 1,Year 4,Online
SOC1010,Development Studies,Social Sciences,60,4,Semester 2,Year 1,In-Person
